"Job.Titles","Department","Annual.Salary"
"SERGEANT","POLICE",126504
"LOAD DISPATCHER","TRANSPORTN",117624
"POLICE OFFICER","POLICE",95586
"ADMINISTRATIVE SUPVSR","FAMILY & SUPPORT",78672
"PUBLIC HEALTH ADMINISTRATOR II","HEALTH",98016
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"SERGEANT","POLICE",126504
"SERGEANT","POLICE",118836
"FIREFIGHTER/PARAMEDIC","FIRE",87348
"ALDERMAN","CITY COUNCIL",122304
"POLICE COMMUNICATIONS OPERATOR II","OEMC",103524
"POLICE OFFICER","POLICE",106170
"PROJECT MANAGER","HOUSING",108816
"AIRPORT OPERATIONS SUPVSR II","AVIATION",118068
"POLICE OFFICER","POLICE",102372
"SHIFT SUPVSR OF AVIATION SECURITY","AVIATION",77892
"EXPLOSIVES TECHNICIAN I","POLICE",122568
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"DIR OF ACCOUNTING","FINANCE",129144
"STAFF ASST","BUSINESS AFFAIRS",93660
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"ACCOUNTANT","FINANCE",81468
"POLICE OFFICER","POLICE",95586
"PARAMEDIC I/C","FIRE",101052
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",114570
"SENIOR DATA ENTRY OPERATOR","PUBLIC LIBRARY",40860
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",102372
"SENIOR EMERGENCY MANAGEMENT COORD","OEMC",78252
"AIRPORT FACILITIES MANAGER","AVIATION",89532
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"AVIATION SECURITY SERGEANT","AVIATION",87900
"POLICE OFFICER","POLICE",98940
"SERGEANT","POLICE",126504
"AVIATION SURVEILLANCE SPECIALIST","AVIATION",50592
"CLERK IV","PUBLIC LIBRARY",77772
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",107490
"ASST COMMISSIONER","CULTURAL AFFAIRS",98520
"POLICE OFFICER","POLICE",98940
"PARAMEDIC","FIRE",93252
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"LIEUTENANT","POLICE",142296
"SERGEANT","POLICE",126504
"POLICE OFFICER (ASGND AS MARINE OFFICER)","POLICE",111492
"ADMINISTRATIVE ASST III","TRANSPORTN",93660
"POLICE OFFICER","POLICE",102372
"DIR OF ADMINISTRATIVE SERVICES","HEALTH",90984
"SENIOR CITY FORESTER","STREETS & SAN",102516
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",122568
"LIEUTENANT","POLICE",146652
"POLICE OFFICER (ASGND AS MARINE OFFICER)","POLICE",111492
"SERGEANT","POLICE",130596
"DEPUTY CHIEF","POLICE",183984
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",54672
"PROPERTY CUSTODIAN","PUBLIC SAFETY ADMIN",77772
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"LIBRARY CLERK","PUBLIC LIBRARY",61632
"FIREFIGHTER-EMT","FIRE",102372
"SHIFT SUPVSR OF AIRPORT GROUND TRANSPORTATION","AVIATION",52956
"POLICE OFFICER","POLICE",98940
"POLICE COMMUNICATIONS OPERATOR II","OEMC",98892
"POLICE OFFICER","POLICE",54672
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II","HEALTH",58320
"REGIONAL DIR - AGING","FAMILY & SUPPORT",86328
"POLICE OFFICER","POLICE",102372
"PUBLIC HEALTH ADM III - EXCLUDED","HEALTH",69984
"DETENTION AIDE","POLICE",82104
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",102372
"CLINICAL THERAPIST III","HEALTH",111816
"ASST CHIEF LABOR NEGOTIATOR","LAW",150048
"POLICE OFFICER","POLICE",95586
"ACCOUNTING TECHNICIAN","FINANCE",81468
"PARAMEDIC","FIRE",80448
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"ANIMAL CONTROL OFFICER","ANIMAL CONTRL",71436
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"ANIMAL CONTROL OFFICER","ANIMAL CONTRL",78384
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"CIVIL ENGINEER III","TRANSPORTN",77772
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"STREET LIGHT REPAIR WORKER","TRANSPORTN",117624
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"CAPTAIN-EMT","FIRE",151764
"ASST CORPORATION COUNSEL I","LAW",76932
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"PARAMEDIC","FIRE",99876
"SERGEANT","POLICE",115026
"EXEC ADMINISTRATIVE ASST II","HUMAN RESOURCES",86328
"POLICE COMMUNICATIONS OPERATOR I","OEMC",53340
"POLICE OFFICER","POLICE",95586
"DIRECTOR - MAYOR'S OFFICE","MAYOR'S OFFICE",135456
"POLICE COMMUNICATIONS OPERATOR II","OEMC",94368
"REFUSE COLLECTION COORD","STREETS & SAN",93624
"POLICE OFFICER","POLICE",95586
"PARAMEDIC I/C","FIRE",115308
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",106170
"PARKING INVESTIGATOR","FINANCE",68640
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"FIREFIGHTER-EMT","FIRE",105936
"SERGEANT","POLICE",126504
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER","POLICE",106170
"BATTALION CHIEF - EMT","FIRE",165858
"SUPVSR OF 311 OPERATIONS","OEMC",112716
"CERTIFIED MEDICAL ASST","HEALTH",70860
"POLICE OFFICER","POLICE",102372
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER/PARAMEDIC","FIRE",108444
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",46188
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"FIREFIGHTER-EMT","FIRE",105936
"CLERK IV","FINANCE",44808
"POLICE OFFICER","POLICE",109236
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"SERGEANT","POLICE",122568
"MAJOR CASE SPECIALIST-COPA","COPA",123696
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"AUDITOR III","FINANCE",84084
"FIREFIGHTER","FIRE",108036
"POLICE OFFICER","POLICE",95586
"FINANCIAL PLANNING ANALYST - EXCLD","HOUSING & ECON DEV",112164
"SERGEANT","POLICE",122568
"MANAGER OF MAPS AND PLATS","TRANSPORTN",85452
"FIREFIGHTER-EMT","FIRE",98904
"LIBRARIAN II","PUBLIC LIBRARY",88416
"DETENTION AIDE","POLICE",65064
"LIBRARY CLERK","PUBLIC LIBRARY",61632
"INDEX EDITOR","CITY CLERK",76356
"PLUMBING INSPECTOR I/C","WATER MGMNT",116178
"LEGISLATIVE AIDE","CITY COUNCIL",109236
"MEDICAL DIR","HEALTH",171996
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"CURATOR OF EXHIBITS","CULTURAL AFFAIRS",103920
"LIBRARIAN III","PUBLIC LIBRARY",84084
"DEPUTY COMMISSIONER","CULTURAL AFFAIRS",122616
"ELEVATOR INSPECTOR","BUILDINGS",141377.64
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"MARINE PILOT - FIRE BOAT","FIRE",117193.92
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"FIRE ENGINEER-EMT","FIRE",118830
"POLICE OFFICER","POLICE",95586
"ADMINISTRATIVE ASST III","AVIATION",53952
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"ACCOUNTANT","FINANCE",98016
"CAPTAIN-EMT","FIRE",147258
"POLICE OFFICER","POLICE",109236
"MANAGING DEPUTY COMMISSIONER","AVIATION",140976
"SERGEANT","POLICE",122568
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"FREEDOM OF INFORMATION ACT OFFICER","POLICE",66984
"LIEUTENANT-EMT","FIRE",126840
"POLICE OFFICER","POLICE",102372
"FINANCIAL PLANNING ANALYST - EXCLD","HOUSING & ECON DEV",101580
"LIBRARIAN III","PUBLIC LIBRARY",102516
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",106170
"MANAGER OF CUSTOMER  SERVICES","BUILDINGS",105624
"FIREFIGHTER-EMT","FIRE",105936
"PARAMEDIC","FIRE",62466
"ELECTRICAL INSPECTOR","BUILDINGS",110160
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",46188
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"ADMINISTRATIVE ASST II","HUMAN RESOURCES",67668
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"LIBRARIAN II","PUBLIC LIBRARY",63960
"CITY PLANNER V","HOUSING & ECON DEV",78000
"POLICE COMMUNICATIONS OPERATOR I","OEMC",86016
"POLICE OFFICER","POLICE",90990
"WARRANT AND EXTRADITION AIDE","POLICE",70152
"ASST TO THE ALDERMAN","CITY COUNCIL",66768
"SERGEANT","POLICE",126504
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",53088
"POLICE OFFICER","POLICE",102372
"LIBRARIAN I","PUBLIC LIBRARY",59856
"LIBRARIAN I","PUBLIC LIBRARY",84936
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"LEGISLATIVE AIDE","CITY COUNCIL",72108
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"FIRE MARSHAL-EMT","FIRE",110196
"FIREFIGHTER/PARAMEDIC","FIRE",87348
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",90990
"PROJECTS ADMINISTRATOR","AVIATION",90084
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"WATER QUALITY INSPECTOR","WATER MGMNT",70860
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",98940
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",77772
"POLICE OFFICER","POLICE",90990
"POLICE COMMUNICATIONS OPERATOR II","OEMC",98892
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"INVESTIGATOR-COPA","COPA",102516
"PLUMBING INSPECTOR","WATER MGMNT",114138
"ADMINISTRATIVE ASST II","BUSINESS AFFAIRS",74280
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",109236
"PROPERTY CUSTODIAN - AUTO POUND","STREETS & SAN",48420
"ADMINISTRATIVE ASST III","STREETS & SAN",93660
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"ASST CORPORATION COUNSEL I","LAW",76932
"SERGEANT","POLICE",122568
"PERSONNEL ASSISTANT","PUBLIC SAFETY ADMIN",44808
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"SERGEANT","POLICE",126504
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",109236
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",69024
"SENIOR LIBRARY CLERK","PUBLIC LIBRARY",61632
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"FIREFIGHTER","FIRE",103914
"FIREFIGHTER-EMT","FIRE",98904
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"VENTILATION AND FURNACE INSPECTOR","BUILDINGS",106704
"SERGEANT","POLICE",118836
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"AUTO POUND SUPVSR","STREETS & SAN",112668
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"CHIEF OF STAFF","MAYOR'S OFFICE",204756
"SERGEANT","POLICE",126504
"BUSINESS COMPLIANCE INVESTIGATOR","BUSINESS AFFAIRS",93660
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"POLICE OFFICER","POLICE",95586
"SENIOR DATA ENTRY OPERATOR","PUBLIC LIBRARY",48420
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",95586
"LIBRARIAN IV","PUBLIC LIBRARY",111816
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"LIBRARIAN III","PUBLIC LIBRARY",70428
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"LIEUTENANT-EMT","FIRE",135144
"ADMINISTRATIVE ASST III","HOUSING & ECON DEV",93660
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"FIRE ENGINEER-EMT","FIRE",110766
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",54672
"FIELD SUPVSR I - PARKING ENFORCEMENT","FINANCE",71436
"POLICE OFFICER","POLICE",102372
"SAFETY SPECIALIST - WATER MGMT","WATER MGMNT",97992
"FIREFIGHTER-EMT","FIRE",94152
"FIRE ENGINEER-EMT","FIRE",122274
"POLICE OFFICER","POLICE",98940
"FIREFIGHTER","FIRE",99876
"POLICE OFFICER","POLICE",86730
"LIEUTENANT","POLICE",142296
"POLICE OFFICER","POLICE",106170
"SR PROCUREMENT SPECIALIST","PROCUREMENT",119436
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"PUBLIC HEALTH NUTRITIONIST III","HEALTH",76344
"LIEUTENANT-EMT","FIRE",130908
"FOREMAN OF STREET LIGHT REPAIRMEN","TRANSPORTN",129063.96
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"SERGEANT","POLICE",130596
"POLICE COMMUNICATIONS OPERATOR I","OEMC",78384
"SENIOR ADVISOR TO THE MAYOR","MAYOR'S OFFICE",155712
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"SERVICE WRITER","DAIS",81444
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"CHIEF BOILER INSPECTOR","BUILDINGS",125049.6
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"SENIOR POLICY ANALYST","HEALTH",88308
"POLICE OFFICER","POLICE",102372
"FOREMAN OF LINEMEN","PUBLIC SAFETY ADMIN",129063.96
"CAPTAIN-EMT","FIRE",151764
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",86730
"BATTALION CHIEF - EMT","FIRE",165858
"SERGEANT","POLICE",130596
"ADMINISTRATIVE ASST III","WATER MGMNT",93660
"COORDINATING ENGINEER I","DAIS",117840
"LIEUTENANT-EMT","FIRE",135144
"LIEUTENANT-EMT","FIRE",126840
"FIREFIGHTER","FIRE",99876
"POLICE OFFICER","POLICE",95586
"LIEUTENANT","FIRE",127410
"PLUMBING INSPECTOR","WATER MGMNT",114138
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"PARAMEDIC","FIRE",93252
"AIRPORT MANAGER - MIDWAY","AVIATION",69984
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"POLICE OFFICER","POLICE",109236
"FIRE ENGINEER-EMT","FIRE",114654
"SAFETY SPECIALIST","AVIATION",102732
"PROJECT MANAGER","HOUSING & ECON DEV",92820
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASGND AS MARINE OFFICER)","POLICE",111492
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"FIRE ENGINEER-EMT","FIRE",114654
"SERGEANT","POLICE",122568
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"SERGEANT","POLICE",126504
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE COMMUNICATIONS OPERATOR II","OEMC",74844
"SERGEANT","POLICE",122568
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",95586
"SUPPORT SERVICES COORD","FAMILY & SUPPORT",89388
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",54672
"ACCOUNTANT","FINANCE",59184
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"ALDERMAN","CITY COUNCIL",127704
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"PARAMEDIC","FIRE",84612
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",102372
"SUPVR OF BUSINESS COMPLIANCE INVESTIGATIONS","BUSINESS AFFAIRS",108864
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",126504
"FIREFIGHTER-EMT","FIRE",114570
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"ENGINEERING TECHNICIAN IV","TRANSPORTN",63972
"PARAMEDIC","FIRE",93252
"SERGEANT","POLICE",126504
"CAPTAIN","FIRE",138828
"POLICE OFFICER","POLICE",106170
"LIEUTENANT-EMT","FIRE",130908
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"PARAMEDIC I/C","FIRE",108096
"PROJECT COORD","BUSINESS AFFAIRS",63780
"FINGERPRINT TECHNICIAN III","POLICE",59184
"POLICE OFFICER","POLICE",98940
"BATTALION CHIEF - EMT","FIRE",161082
"POLICE OFFICER","POLICE",106170
"DETENTION AIDE","POLICE",71436
"POLICE COMMUNICATIONS OPERATOR II","OEMC",103524
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER/PARAMEDIC","FIRE",104814
"PLUMBING INSPECTOR","BUILDINGS",114138
"DEPUTY COMMISSIONER","TRANSPORTN",146964
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"PUBLIC HEALTH NURSE II","HEALTH",118512
"ASST CHIEF ENGINEER OF SEWERS","BUILDINGS",121404
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"CIVIL ENGINEER III","WATER MGMNT",77772
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"LIEUTENANT","POLICE",146652
"PUBLIC HEALTH NUTRITIONIST I","HEALTH",69936
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",54672
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"ACCOUNTING TECHNICIAN","FINANCE",58320
"SPECIAL ASST","TRANSPORTN",92820
"POLICE OFFICER","POLICE",109236
"LIBRARIAN IV","PUBLIC LIBRARY",111816
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",102372
"ASST TO THE ALDERMAN","CITY COUNCIL",97836
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"POLICE OFFICER","POLICE",95586
"INVESTIGATOR - ETHICS","BOARD OF ETHICS",87432
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER (ASSIGNED AS CANINE HANDLER)","POLICE",107490
"PARAMEDIC I/C","FIRE",112020
"POLICE OFFICER","POLICE",82458
"CIVIL ENGINEER IV","WATER MGMNT",122112
"ADMINISTRATIVE ASST III","LAW",77772
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"LIEUTENANT","POLICE",142296
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR","POLICE",107490
"POLICE OFFICER","POLICE",95586
"CAPTAIN","POLICE",155658
"FIREFIGHTER-EMT","FIRE",94152
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"FIRE ENGINEER-EMT","FIRE",122274
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"FIREFIGHTER-EMT","FIRE",102372
"BATTALION CHIEF","FIRE",151860
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER/PARAMEDIC","FIRE",108444
"PROJECTS ADMINISTRATOR","HEALTH",97548
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"WEB AUTHOR","DAIS",123696
"ASST DIVISION SUPERINTENDENT","STREETS & SAN",125088
"ASST DIVISION SUPERINTENDENT","STREETS & SAN",94704
"DIVISION SUPERINTENDENT","STREETS & SAN",131064
"POLICE OFFICER","POLICE",95586
"POLICE COMMUNICATIONS OPERATOR II","OEMC",86016
"REFUSE COLLECTION COORD","STREETS & SAN",112668
"ASST TO THE ALDERMAN","CITY COUNCIL",84792
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"POLICE OFFICER","POLICE",86730
"PARAMEDIC I/C","FIRE",101052
"SERGEANT","POLICE",130596
"LIEUTENANT","POLICE",146652
"ACCOUNTANT I","FINANCE",63972
"SERGEANT","POLICE",126504
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"POLICE OFFICER","POLICE",95586
"ENVIRONMENTAL ENGINEER III","HEALTH",122112
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"DEPUTY INSPECTOR GENERAL","INSPECTOR GEN",143868
"PUBLIC HEALTH NURSE III","HEALTH",113496
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",54672
"FIELD SERVICE SPECIALIST II","TRANSPORTN",73464
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",54672
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",109236
"LIEUTENANT-EMT","FIRE",135144
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",64896
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"PROJECT COORD","HEALTH",63780
"LIEUTENANT-EMT","FIRE",135144
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"PARAMEDIC","FIRE",80448
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",98940
"LIEUTENANT","POLICE",142296
"POLICE OFFICER","POLICE",106170
"POLICE COMMUNICATIONS OPERATOR I","OEMC",82092
"LIEUTENANT","POLICE",142296
"ACCOUNTING TECHNICIAN","FINANCE",85344
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",54672
"INVESTIGATOR","FIRE",63780
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"LIEUTENANT-EMT","FIRE",130908
"SERGEANT","POLICE",122568
"PARAMEDIC I/C","FIRE",108096
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"ASST TO THE EXEC DIR","POLICE",103920
"DIR OF INFORMATION SYSTEMS","PUBLIC SAFETY ADMIN",139740
"POLICE OFFICER","POLICE",90990
"WARD SUPERINTENDENT","STREETS & SAN",125088
"PARAMEDIC","FIRE",84612
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",106170
"MICROBIOLOGIST III","WATER MGMNT",102516
"LIEUTENANT-EMT","FIRE",135144
"LIEUTENANT-EMT","FIRE",130908
